,Unnamed: 0,Shoe_Name,Category,Colour,Shoe_Price,Style_code,Count_Size,Colour1,Colour2,Colour3,Colour4,Colour5,Review,Size,Comfort,Star_Rate,Durability
0,0,Nike Air Force 1 '07,Men Shoes,2,7495.0,CW2288-001,16,Black,White,,,,1316,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13",Comfortable sockliner,4.8,"The stitched overlays on the upper add heritage style, durability and support"
1,1,Nike Air Force 1 '07 EasyOn,Women Shoes,1,9695.0,DX5883-100,9,White,,,,,119,"3.5, 4,4.5,5.5,6,6.5,7,7.5",Comfortable sockliner,4.6,Rubber outsole with classic pivot circle pattern adds traction and durability
2,2,Nike Gamma Force,Women Shoes,4,8495.0,DX9176-107,7,White,Summit White,Iron Grey,Black,,108,"3.5, 4,4.5,5.5,6,6.5,7,7.5",Comfortable sockliner,4.4,"The leather, suede and mesh layers add a durable and dimensional look to any outfit"
3,3,Nike Air Force 1 '07,Women Shoe,4,8195.0,DD8959-600,10,Pink,white,Black,Red,,875,"2.5, 7",Comfortable sockliner,4.7,"The stitched leather overlays on the upper add heritage style, durability and support"
4,4,Air Jordan 1 Low SE,Women Shoes,2,10295.0,FN3722-801,3,Pink,Black,,,,23,"3.5, 6.5, 7.5",Comfortable sockliner,4.8,Encapsulated Nike Air-Sole unit provides lightweight cushioning
5,5,Nike Air Max 1,Women shoes,4,12795.0,FQ8048-133,11,Red,Gree,Pink,Orange,,0,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",,0.0,"Plush and comfortable, the Max Air cushioning has just the right amount of support"
6,6,Nike Court Vision Low,Men Shoes,1,5695.0,FQ8075-133,7,white,,,,,0,"9,9.5,10,10.5,11",,0.0,Rubber outsole gives you durable traction
7,7,Nike Dunk Low Retro Premium,Men Shoes,1,9695.0,FB8896-300,13,Blue,,,,,2,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",Highly Comfortable,5.0,Rubber outsole with hoops pivot circle adds durable traction and heritage style
8,8,Nike Air Max 90,Men Shoes,1,11895.0,FB9658-001,13,Black,,,,,5,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",Highly Comfortable,4.8,The textile upper with leather and synthetic overlays adds texture and durability
9,9,Nike Tech Hera,Women shoes,4,9695.0,FJ9532-100,4,Grey,Green,"Pink,",Orange,,12,"7,7.5,8,8.5",Highly Comfortable,4.7,The textile upper and suede accents add dimension and durability
10,10,Nike Calm,Women Mules,3,5695.0,FB2185-300,6,Pink,Green,Black,,,0,"2.5,3,3.5,4,4.5,5,5.5,6,6.5,7, 7.5",,0.0,"Contoured design is made from a single piece of foam for a smooth, seamless feel"
11,11,Nike Air Force 1 '07 Pro Tech,Men Shoes,3,13995.0,FB8875-002,17,Grey,Black,Yellow,,,8,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Highly Comfortable,4.6,Rubber sole gives you durable traction
12,12,Nike Dunk Low SE,Women Shoes,1,9695.0,FD8683-100,11,White,,,,,1,"2.5,3,3.5,4,4.5,5,5.5,6,6.5,7, 7.5",Highly Comfortable,5.0,Rubber outsole with hoops pivot circle adds durable traction and heritage style
13,13,Jordan Stadium 90,Women Shoes,2,12795.0,FB2269-103,11,Pink,Green,,,,3,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Highly Comfortable,4.7,"Durable upper is made from real leather, synthetic leather and textile materials"
14,14,Air Jordan 1 Low,Women Shoes,2,8295.0,DC0774-080,10,Pink,Black,,,,374,"2.5,3,3.5,4,4.5,5,5.5,6,6.5,7, 7.5",Highly Comfortable,4.8,"For this go, the Low features a high-end mix of leather and synthetic materials in the upper"
15,15,NikeCourt Air Zoom Vapor Pro 2 Premium,Men Hard Court Tennis Shoes,1,11895.0,FD6692-001,13,Green,,,,,1,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",Highly Comfortable,5.0,"Durable, reinforced mesh helps keep your feet cool and adds extra support"
16,16,Nike Air Zoom Victory Tour 3,Men Golf Shoes (Wide),1,16995.0,DX9025-101,15,White,,,,,0,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",,0.0,A moulded 3D collar helps you stay stabilised
